,City,Lat,Lng,Max_Temp,Humidity,Cloudness,WindSpeed,Country,Date
83,wattegama,6.7989,81.4808,76.32,90,99,3.04,LK,1658852717
84,aklavik,68.2191,-135.0107,63.43,58,100,10.27,CA,1658852717
85,lazaro cardenas,17.9583,-102.2,85.26,62,78,2.08,MX,1658852718
86,burnie,-41.0667,145.9167,50.92,73,97,12.82,AU,1658852718
87,murray bridge,-35.1167,139.2667,49.33,89,17,7.4,AU,1658852718
88,east london,-33.0153,27.9116,63.54,72,0,6.91,ZA,1658852545
89,yamada,39.4667,141.95,71.89,96,14,3.11,JP,1658852718
90,pemba,-12.974,40.5178,75.9,78,20,14.97,MZ,1658852654
91,barra dos coqueiros,-10.9089,-37.0386,73.42,94,100,13.8,BR,1658852718
92,abeche,13.8292,20.8324,93.16,36,99,7.02,TD,1658852718
93,qaanaaq,77.484,-69.3632,43.02,61,2,0.22,GL,1658852719
94,ahipara,-35.1667,173.1667,55.58,81,99,18.41,NZ,1658852719
95,kaitangata,-46.2817,169.8464,45.14,95,100,14.83,NZ,1658852719
96,busselton,-33.65,115.3333,50.27,77,24,7.25,AU,1658852719
97,humberto de campos,-2.5983,-43.4611,90.5,40,60,4.83,BR,1658852719
98,port blair,11.6667,92.75,82.22,81,74,5.17,IN,1658852719
99,pitimbu,-7.4706,-34.8086,84.79,72,71,12.26,BR,1658852719
100,ponta do sol,32.6667,-17.1,86.13,42,57,7.34,PT,1658852719
101,saint-augustin,51.226,-58.6502,71.26,64,91,18.79,CA,1658852719
102,makaha,21.4694,-158.2175,76.39,73,0,3.44,US,1658852720
103,labrea,-7.2586,-64.7981,95.47,28,5,3.44,BR,1658852720
104,durango,24.8333,-104.8333,70.97,48,100,3.2,MX,1658852590
105,san quintin,30.4833,-115.95,70.03,73,78,6.11,MX,1658852720
106,marica,-22.9194,-42.8186,78.75,67,38,9.86,BR,1658852720
107,schwedt,53.0596,14.2815,73.58,60,96,11.12,DE,1658852720
108,oyem,1.5995,11.5793,75.22,75,87,3.13,GA,1658852720
109,ribeira grande,38.5167,-28.7,79.2,78,20,10.36,PT,1658852721
110,souillac,-20.5167,57.5167,68.38,83,40,8.05,MU,1658852721
111,kolpashevo,58.3131,82.9089,59.49,88,14,4.88,RU,1658852721
112,codrington,-38.2667,141.9667,51.89,91,64,14.0,AU,1658852721
113,komsomolskiy,40.4272,71.7189,93.92,24,2,4.61,UZ,1658852721
114,ryotsu,38.0833,138.4333,75.9,90,0,1.54,JP,1658852721
115,wilmington,34.2257,-77.9447,91.89,63,40,14.97,US,1658852721
116,beringovskiy,63.05,179.3167,46.9,87,99,5.68,RU,1658852721
117,zhanaozen,43.3,52.8,82.83,35,0,13.15,KZ,1658852722
118,ranong,9.9658,98.6348,79.5,86,45,2.86,TH,1658852722
119,xining,36.6167,101.7667,58.84,83,42,3.31,CN,1658852722
120,thompson,55.7435,-97.8558,62.76,82,75,4.61,CA,1658852722
121,tasiilaq,65.6145,-37.6368,37.67,93,100,2.82,GL,1658852722
122,avarua,-21.2078,-159.775,68.05,83,100,11.5,CK,1658852722
123,awjilah,29.1081,21.2869,101.03,12,2,10.85,LY,1658852722
124,chara,56.9064,118.2631,66.54,71,26,3.4,RU,1658852722
125,bitung,1.4451,125.1824,81.45,86,85,12.75,ID,1658852723
126,filadelfia,39.9523,-75.1638,79.7,55,100,4.61,US,1658852494
127,luderitz,-26.6481,15.1594,56.7,75,26,7.61,NA,1658852723
128,inhambane,-23.865,35.3833,64.38,72,0,0.0,MZ,1658852723
129,guarapari,-20.6667,-40.4975,76.89,65,8,9.8,BR,1658852723
130,asilah,35.465,-6.0348,82.36,60,7,7.76,MA,1658852723
131,cockburn town,21.4612,-71.1419,85.96,70,40,17.27,TC,1658852724
132,port hardy,50.6996,-127.4199,57.38,100,75,3.44,CA,1658852724
133,atar,20.5169,-13.0499,106.72,20,12,6.31,MR,1658852724
134,bethel,41.3712,-73.414,80.37,53,0,6.91,US,1658852724
135,dulce nombre de culmi,15.1,-85.5333,84.43,56,27,3.6,HN,1658852724
136,alice springs,-23.7,133.8833,35.15,75,0,0.0,AU,1658852724
137,nikolskoye,59.7035,30.7861,77.81,47,53,7.72,RU,1658852724
138,castro,-24.7911,-50.0119,73.99,44,0,0.58,BR,1658852724
